id,module,code,subtopic,type,archetype,difficulty,depth,reviewStatus,version,correctAnswers,stem
A-AMDAHL-008,arch_perf_model,A,Amdahl's Law / parallelization limits,single,formula_performance,2,textbook,agent_reviewed,1,A,"A workload spends 5% of its serial time in a sequential preprocessing step that cannot be parallelized; the remaining 95% is embarrassingly parallel. By Amdahl's Law, what is the maximum achievable speedup as the number of workers p → ∞?"
A-ARITH-001,arch_perf_model,A,Roofline / Arithmetic Intensity / GEMV,single,formula_performance,3,implementation,agent_reviewed,1,A,"On A100 SXM (peak FP16 Tensor-Core throughput ≈ 312 TFLOP/s, HBM2e bandwidth ≈ 2.0 TB/s), consider a batch-1 GEMV y = W x with W ∈ ℝ^{4096×4096} FP16, x ∈ ℝ^{4096} FP16, y ∈ ℝ^{4096} FP16 (all resident in HBM, weights streamed once, negligible reuse). Assuming steady state and ignoring launch overhead, which Roofline characterization is correct?"
A-ARITH-002,arch_perf_model,A,Roofline / Elementwise memory-bound,single,formula_performance,2,implementation,agent_reviewed,1,B,"On A100 SXM (peak FP32 ≈ 19.5 TFLOP/s, HBM ≈ 2.0 TB/s), a kernel reads an FP32 tensor A of shape [32M] and writes B[i] = softplus(A[i]) (≈ 10 FLOPs per element). Which Roofline analysis is correct?"
A-BANK-022,arch_perf_model,A,Shared memory bank conflict,single,performance_diagnosis,4,implementation,agent_reviewed,2,D,"A CUDA kernel declares `__shared__ float smem[32][32]` (32 banks × 4-byte bank width on Ampere). After a `__syncthreads()`, the block reads `smem[threadIdx.x][threadIdx.y]` with a 32×32 thread block. What is the resulting bank-conflict behavior for a warp with a single value of threadIdx.y (threads share y, differ in x)?"
A-BATCH-028,arch_perf_model,A,Batch size to cross ridge point,single,formula_performance,4,systems,agent_reviewed,1,D,"For a transformer linear layer Y = X · W with W ∈ ℝ^{4096×4096} FP16 (weight streamed once), on A100 SXM (FP16 Tensor-Core peak ≈ 312 TFLOP/s, HBM ≈ 2.0 TB/s, ridge point ≈ 156 FLOP/byte). Approximately what batch/token dimension B is needed for the layer's arithmetic intensity to reach the ridge point (assuming AI ≈ B in the weight-dominated small-B regime)?"
A-BW-006,arch_perf_model,A,Arithmetic intensity / batched GEMM,single,formula_performance,3,implementation,agent_reviewed,1,C,"Consider a single-tile FP16 GEMM C = A · B with A ∈ ℝ^{M×K}, B ∈ ℝ^{K×N}, C ∈ ℝ^{M×N}, M=N=K=1024, all tensors streamed once from HBM (no persistence). On A100 SXM (FP16 Tensor Core peak ≈ 312 TFLOP/s, HBM ≈ 2.0 TB/s, ridge point ≈ 156 FLOP/byte), which classification is correct?"
A-CACHE-010,arch_perf_model,A,Cache line utilization / data locality,single,formula_performance,3,implementation,agent_reviewed,1,A,"A CPU loop reads a[i * S] for i = 0 .. N−1 where a is a contiguous FP32 array and S = 16 (stride 16 elements = 64 B). Cache lines are 64 B. Assuming N is large so warm-up effects are negligible and no prefetch reuse across iterations, what fraction of each transferred cache line is useful to the loop?"
A-COAL-009,arch_perf_model,A,Global memory coalescing / effective bandwidth,single,performance_diagnosis,3,implementation,agent_reviewed,1,D,"Two kernels each read 32 × 4 B = 128 useful bytes per warp. Kernel A reads contiguous 4 B elements (stride 1) and issues one 128 B coalesced transaction. Kernel B reads with stride 32 (4 B elements 128 B apart), touching 32 distinct 32 B sectors, so the memory system transfers 32 × 32 B = 1024 B per warp. Assuming HBM bandwidth is the bottleneck, what is the ratio of effective useful-bytes throughput of Kernel B to Kernel A?"
A-CPUGPU-027,arch_perf_model,A,CPU vs GPU execution model contrasts,multiple,concept_boundary,3,textbook,agent_reviewed,1,A|B|C,"Which statements correctly contrast the CPU and GPU execution models? (Select all that apply.)"
A-DIVERG-021,arch_perf_model,A,Warp divergence performance impact,multiple,performance_diagnosis,4,implementation,agent_reviewed,1,B|C,"A CUDA kernel executes an if/else branch that produces two disjoint code paths of similar cost (T_A ≈ T_B ≈ T). Which of the following statements about divergence within a warp are correct? (Select all that apply.)"
